GeneSymbol	Diseases
TACC2	Cancer
ASCL2	Abortion:Choriocarcinoma:Colon cancer:Embryoma
MIB1	Brain disease:Brain tumor:Central nervous system disease:Nervous system tumor
ASCL1	Brain disease:Cancer
EP300	Breast cancer:Colon cancer:Congenital abnormality:Diabetes mellitus:Endometrial cancer:Hepatoblastoma:Myeloproliferative disease:Prostate cancer:Scleroderma:Systemic scleroderma:Yersinia infection
LRAT	Amaurosis congenita of leber I :Renal Cell cancer
ARRB2	Hypertension
ARRB1	Depression:Hypertension:Neoplasm metastasis
RNF139	Cancer
SMARCA1	Mental retardation
SMARCA2	Adrenal gland tumor:Prostate cancer:Schizophrenia
SMARCA4	Adrenal gland hyperfunction:Cancer:Hereditary disease:Renal tubular acidosis
CCL1	Asthma:Dermatitis:Endometriosis
IGHV1-69	Rheumatoid arthritis
CCL3	Alveolar bone loss:Alzheimer's disease:Breast cancer:Bronchiolitis:Cystic fibrosis:Encephalitis:Familial Mediterranean fever:HIV infection:Influenza:Leukemia:Liver cancer:Multiple myeloma:Neoplasm metastasis:Rheumatoid arthritis:Sarcoidosis:Schistosoma mansonii infection:Squamous cell cancer:Tuberculosis
CCL2	"Hemorrhagic fevers, Viral":"Labor, Premature":"Mycobacterium infection, Atypical":"Pleural effusion, Malignant":Alopecia:Alzheimer's disease:Amyotrophic lateral sclerosis:Arthritis:Atherosclerosis:Autoimmune disease:Bipolar disorder:Brain tumor:Bronchiolitis:CNS metastases:Depression:Diabetes mellitus:Down syndrome:Endometriosis:Epstein-Barr virus infection:Esophagus cancer:Growth retardation:HIV infection:Heart failure:Hepatitis B:Hepatitis C:Hypercholesterolemia:Hyperhomocysteinemia:Hyperinsulinism:Hypothyroidism:IGA glomerulonephritis:Infertility:Influenza:Intractable epilepsy:Kidney failure:Leukemia:Lipodystrophy:Liver cancer:Liver disease:Lupus vulgaris:Lyme disease:Macular degeneration:Melanoma:Nasopharyngeal cancer:Nephritis:Neuroblastoma:Obesity:Pancreatitis:Penile disease:Peptic esophagitis:Prostate cancer:Proteinuria:Pulmonary fibrosis:Schizophrenia:Squamous cell cancer:Stomach cancer:Systemic scleroderma:Tuberculosis:Tuberous sclerosis
ADORA2B	Adenocarcinoma:Breast cancer:Diabetes mellitus:Hypertension
ADORA2A	Asthma:Chronic obstructive airway disease:Cystic fibrosis:Depression:Heart failure:Huntington disease:Hypertension:Kidney failure:Panic disorder:Phobic anxiety disorder:Schizophrenia:Thrombocytosis
BMPR2	"Hypertension, Pulmonary":Asthma:Breast cancer:Capillaries disease:Congenital heart disease:Hypertension:Lung cancer:Prostate cancer:Pulmonary hypertension:Rabies:Renal Cell cancer:Vascular disease
PTK7	Colon cancer
IL31	Dermatitis
IL32	Autoimmune disease:Rheumatoid arthritis
CCL5	Alcoholic liver disease:Anemia:Atherosclerosis:Basal cell carcinoma:Bronchial disease:Bronchiolitis:Chronic obstructive airway disease:Chronic rejection of renal transplant:Dermatitis:Diabetes mellitus:Endometriosis:Enteritis:Graves' disease:HTLV-I infection:Hepatitis C:Hyperglycemia:Hyperlipidemia:Infection:Infertility:Influenza:Kidney failure:Leukemia:Lung cancer:Lupus erythematosus:Lupus vulgaris:Melanoma:Multiple sclerosis:Prostate cancer:Pulmonary fibrosis:Rheumatoid arthritis:Stomach cancer:Synovitis:Thrombocytopenia:Thyroid gland disease
CCL4	Arthritis:Breast cancer:HIV infection:Leukemia:Multiple myeloma:Stomach cancer:Tuberculosis
CCL7	Autoimmune disease:Systemic scleroderma
IL12RB2	Infection:Multiple myeloma:Periodontitis
MIA3	Liver cancer
PTK2	Adenovirus infection:Cancer:Kidney disease:Lupus erythematosus:Primary hyperparathyroidism:Wiskott-Aldrich syndrome
IL12RB1	Bacterial infection:Communicable disease:Dermatitis:Endometriosis:Infection:Virus disease
SMARCB1	Brain disease:Cancer:HIV infection
ICOS	"Mycobacterium infection, Atypical":Atherosclerosis:Chronic rejection of renal transplant:Common variable immunodeficiency:Dental plaque:Hereditary disease:Lupus erythematosus:Melanoma:Multiple sclerosis:Rheumatoid arthritis
PTK6	Breast cancer:Lymphoma:Squamous cell cancer
FBXW4	Congenital abnormality
UCN	Atopic rhinitis:Gastritis
MYO1A	Conduct disorder:Deafness
PALM2-AKAP2	Urogenital abnormalities
HACE1	Colon cancer:Multiple malignancy
GTF2A1L	Infertility
AIM2	Colon cancer
AIM1	Melanoma
EPS15	Dental plaque:Infection
LAMP1	Leukemia:Lymphoma:Melanoma
LAMP2	Myopathy:Retinal disease
LAMP3	Adenocarcinoma:Cervical cancer:Melanoma:Rheumatoid arthritis
SMARCC1	Neoplasm metastasis:Prostate cancer
DYRK1B	Adenocarcinoma
DYRK1A	Down syndrome:Neurodegenerative disorder:Yersinia infection
IMPA2	Bipolar disorder
IMPA1	Bipolar disorder
NRG3	Breast cancer
PINK1	Breast cancer:Congenital abnormality:Diabetes mellitus:Neurodegenerative disorder:Obesity:Parkinson disease
GABBR2	Epilepsy
HLA-DMB	Diabetes mellitus:Rheumatoid arthritis
PTMA	Adenocarcinoma:Prostate cancer
HLA-DMA	Diabetes mellitus:Lupus erythematosus:Rheumatoid arthritis
THADA	Adenoma:Carcinoma:Thyroid cancer
LOC643387	Amyloidosis:Amyotrophic lateral sclerosis:Neurodegenerative disorder:Pelvic inflammatory disease
PKN3	Cancer
SPINT2	Cancer:Congenital abnormality
CAT	AIDS:Adenocarcinoma:Adenovirus infection:Asthma:Brain tumor:Breast cancer:Chronic obstructive airway disease:Deafness:Diabetes mellitus:Embryoma:Endometriosis:Henoch-Schoenlein purpura:Hypertension:Lupus erythematosus:Malnutrition:Rheumatoid arthritis:Squamous cell cancer:Vitiligo
TIE1	Fibroid tumor:Gastrointestinal stromal tumor:Neurilemmoma
NRG2	Breast cancer:Chronic simple glaucoma
APLN	Brain tumor:Breast cancer:Diabetes mellitus:Obesity:Pre-Eclampsia
DDB1	HIV infection
SPINT1	Chronic obstructive airway disease:Gastrointestinal cancer:Prostate cancer
KCNQ1OT1	Beckwith-Wiedemann syndrome:Colon cancer:Congenital abnormality:Embryoma
CAPN10	Atherosclerosis:Colon cancer:Diabetes mellitus:Hyperglycemia:Hypertension:Larynx cancer:Obesity:Polycystic ovary syndrome
CA9	Cancer:Vulvar disease
CA8	Colon cancer
PKM2	Cancer:Gilles de la Tourette syndrome:Obsessive-compulsive disorder
PKLR	Diabetes mellitus:Hemolytic anemia:Malaria:Skin disease
ERN1	Ischemia
DDB2	Breast cancer
UBC	"Prostatic hypertrophy, Benign":Prostate cancer
CA4	Retinitis pigmentosa
UBD	Polycystic kidney
UBB	Myopathy
WASL	Breast cancer:Intestinal disease
CA2	Anemia:Down syndrome:Pancreas cancer:Pancreatitis:Ulcerative colitis
TM4SF1	Embryoma:Neoplasm metastasis
DMC1	Ovarian failure
CA1	Anemia:Cancer:Diabetes mellitus
TM4SF5	Liver cancer
CCK	Biliary cancer:Brain tumor:Cholelithiasis:Ewings sarcoma:Panic disorder:Parkinson disease:Polycystic ovary syndrome
HS3ST4	Drug abuse
MIR7-1	Brain tumor:Embryoma
HS3ST2	Drug abuse:Infection
BRSK2	Encephalitis:Lung cancer
CD9	Cancer:Diabetes mellitus:Infertility:Protein-energy malnutrition:Rheumatoid arthritis
RNF128	Ulcerative colitis
TMED1	HIV infection
CD2	Leukemia
CD4	Breast cancer:Diabetes mellitus:Drug abuse:Embryoma:HIV infection:Lupus erythematosus:Metastasis to lymph nodes:Multiple sclerosis:Mycosis fungoides:Pancreatitis:Squamous cell cancer:Systemic infection:Testicular dysfunction
CCS	Amyotrophic lateral sclerosis
CD6	Infection:Septicemia
CD5	Leukemia:Lymphoma:Rheumatoid arthritis
CD7	Leukemia
CEBPA	Cancer:Leukemia:Leukopenia:Obesity:Yersinia infection
CEBPB	Cancer:Connective tissue disease:Diabetes mellitus:HIV infection:Lupus erythematosus:Yersinia infection
CEBPE	Leukemia:Leukoencephalopathy
CEBPD	Breast cancer:Leukemia:Prostate cancer
CEBPG	Lung cancer
CBL	Esotropia:Leukemia:Stroke
BAD	Cancer:Gram-Negative bacterial infection
ISL1	Diabetes mellitus:Obesity
HSP90B1	Bacterial infection:Bipolar disorder:Cancer:Carcinoma:Gastrointestinal tumor:Infection
BAX	Abortion:Adenovirus infection:Alzheimer's disease:Asthma:Autoimmune disease:Cancer:Dermatitis:Emphysema:Epstein-Barr virus infection:Fanconi's anemia:Gallbladder disease:Glaucoma:Graves' disease:HIV infection:Osteomyelitis:Thyroid gland disease:Vaccinia
ALKBH3	Prostate cancer
SNTA1	Long QT syndrome
CBS	Alzheimer's disease:Atherosclerosis:Down syndrome:Embryoma:Encephalopathies:Hyperhomocysteinemia:Lung cancer:Meningioma:Stroke
CADM4	Prostate cancer
LHCGR	Adrenal gland tumor:Alzheimer's disease:Breast cancer:Cushing syndrome:Endometrium cancer:Urogenital abnormalities
CD52	Leukemia:Overnutrition
CCT3	Cancer:Liver cancer
VPS33B	AIDS:Ichthyoses
VPS33A	Hemorrhagic disorder
APOB	"Infertility, Male":Adenovirus infection:Aortic valve disease:Atherosclerosis:Biliary cancer:Cerebrovascular disorder:Cholelithiasis:Encephalopathies:Fatty liver:Gallbladder disease:Hyperinsulinism:Hypertension:Kidney failure:Metabolism disease:Neurofibromatosis:Overnutrition:Stroke
DDX17	Colon cancer
APOD	Alzheimer's disease:Dental plaque:Heart disease:Parkinson disease:Respiratory tract disease:Schizophrenia
APOE	"Stress disorder, post-traumatic":Amyotrophic lateral sclerosis:Autistic disorder:Biliary cancer:Breast cancer:Cardiovascular disease:Cerebrovascular disorder:Cholelithiasis:Chronic simple glaucoma:Cirrhosis:Dental plaque:Depression:Dermatitis:Diabetes mellitus:Down syndrome:Drug abuse:Drug-Induced dyskinesia:Embryoma:Encephalitis:Encephalopathies:Glaucoma:Glomerulonephritis:Growth retardation:Herpes:Histiocytosis:Hyperhomocysteinemia:Hyperlipidemia:Hypoglycemia:Infectious lung disease:Ischemia:Kidney failure:Learning disorder:Liver cancer:Liver disease:Lupus erythematosus:Macular degeneration:Malaria:Mycoses:Nephrosis:Neurodegenerative disorder:Ovarian cancer:Polycystic kidney:Prostate cancer:Psychotic disorder:Rectum cancer:Rheumatoid arthritis:Subarachnoid hemorrhage:Vascular dementia:Yersinia infection
LCAT	Atherosclerosis:Diabetes mellitus:Hyperlipidemia
CD46	Adenovirus infection:Breast cancer:Esophagus cancer:Glomerulonephritis:HELLP syndrome:Hemolytic-Uremic syndrome:Infection:Multiple sclerosis
PCOTH	Prostate cancer
APOH	Abortion:Antiphospholipid syndrome:Atherosclerosis:Behcet syndrome:Cirrhosis:Disseminated intravascular coagulation:Hodgkin's disease:Parkinson disease:Rabies:Sicca syndrome:Ulcerative colitis
CREB3L2	Cancer
CEP290	Amaurosis congenita of leber I :Bardet-Biedl syndrome
IZUMO1	Herpes
APOM	Alzheimer's disease:Atherosclerosis:Diabetes mellitus:Infection
GJD2	"Myoclonic epilepsy, Juvenile":Deafness:Schizophrenia
PLD2	Brain tumor:Colon cancer:Ewings sarcoma:Neoplasm metastasis:Yersinia infection
PLD1	Brain tumor:Breast cancer:Melanoma
BCR	Bone marrow disease:Cancer:Cerebrovascular disorder:Congenital abnormality:Myeloproliferative disease
C1GALT1C1	Cervical cancer:Colon cancer:Melanoma
CD3G	HTLV-I infection
CD3D	Combined immunodeficiency
CD3E	Bladder cancer:Clear cell carcinoma:Combined immunodeficiency:Kidney cancer:Lung cancer
KRT12	Corneal disease
KRT13	"Adenocarcinoma, Mucinous"
KRT10	"Skin disease, Genetic":Liver cancer:Squamous cell cancer
RAD9A	Carcinoma:Ovary cancer:Prostate cancer
TANK	Virus disease
CCR9	Asthma:Celiac disease:Lymphoproliferative disorder:Melanoma:Neoplasm metastasis:Prostate cancer
KRT19	Cancer
KRT18	Adenocarcinoma:Breast cancer:Cholangitis:Cirrhosis:Embryoma:Epidermolysis bullosa:Hepatitis C:Liver disease:Squamous cell cancer
CAMK4	Lupus erythematosus:Ovarian cancer
CCR5	Adenovirus infection:Alzheimer's disease:Aortic aneurysm:Arthritis:Asthma:Atherosclerosis:Behcet syndrome:Breast cancer:Brucellosis:Cervical cancer:Chronic obstructive airway disease:Chronic rejection of renal transplant:Colon cancer:Communicable disease:Diabetes mellitus:Drug abuse:Encephalitis:Fetal disease:Graves' disease:Heart failure:Hemophilia:Hepatitis C:Hyperlipidemia:Hypertension:IGA glomerulonephritis:Kidney failure:Liver cancer:Liver disease:Lung cancer:Lupus erythematosus:Melanoma:Mucocutaneous lymph node syndrome:Multiple myeloma:Multiple sclerosis:Neuritis:Polymyositis:Prostate cancer:Schizophrenia:Testicular dysfunction:Viremia
KRT17	Breast cancer:Squamous cell cancer:Thyroid cancer
CD34	Cancer:HIV infection:Pre-Eclampsia:Severe acute respiratory syndrome
CCR4	Dermatitis:Leukemia:Lymphoma
CD33	Infection:Leukemia
CCR3	Bronchial disease:Cancer:Dermatitis
KRT14	"Skin disease, Genetic":Autoimmune disease:Ectodermal dysplasia
PDE4DIP	Esophagus cancer
BIN1	Cancer
BLCAP	Cervical cancer
CDK5R1	Alzheimer's disease:Brain disease:Mental retardation:Prostate cancer
LMNB1	Virus disease
MYO9B	Autoimmune disease:Celiac disease:Dermatitis:Enteritis:Lupus erythematosus:Schizophrenia:Ulcerative colitis
TK2	Lung cancer:Myopathy:Squamous cell cancer
ADA	Asthma:Atherosclerosis:Autistic disorder:Combined immunodeficiency:Diabetes mellitus:Hydatidiform mole:Hypertension:Kidney failure:Lupus erythematosus:Mental retardation:Nephrosis:Peptic ulcer:Pre-Eclampsia
AHSG	Atherosclerosis:Brain tumor:Diabetes mellitus:Endometriosis:Malaria:Metabolic syndrome X:Metabolism disease:Neurodegenerative disorder:Osteoporosis
TK1	Cancer:Thrombophlebitis
SEMA5A	Autistic disorder
SLC11A1	"Mycobacterium infection, Atypical":Anemia:Arthritis:Asthma:Autoimmune disease:Behcet syndrome:Brucellosis:Chronic obstructive airway disease:Embryoma:Enteritis:Esophageal tumor:Leprosy:Mucocutaneous lymph node syndrome:Spondylarthropathies:Systemic scleroderma:Tuberculosis
AHRR	"Infertility, Male":Endometriosis:Infertility:Lung cancer:Yersinia infection
ACE	Alzheimer's disease:Anemia:Ankylosing spondylitis:Arthritis:Asthma:Behcet syndrome:Breast cancer:Bronchopulmonary dysplasia:Cardiovascular disease:Chronic fatigue syndrome:Chronic obstructive airway disease:Chronic rejection of renal transplant:Chronic simple glaucoma:Colon cancer:Connective tissue disease:Depression:Dermatitis:Embryoma:Endometrial cancer:Endometriosis:Esophagus cancer:Familial Mediterranean fever:Fibroid tumor:Heart disease:Hyperhomocysteinemia:Hypertension:Hypoglycemia:IGA glomerulonephritis:Infectious lung disease:Kidney disease:Leukemia:Liver cancer:Lupus erythematosus:Lupus vulgaris:Macular degeneration:Metabolic syndrome X:Metabolism disease:Migraine:Mucocutaneous lymph node syndrome:Neoplasm metastasis:Obesity:Parkinson disease:Polycythemia:Premature birth:Prostate cancer:Proteinuria:Psoriasis:Respiratory distress syndrome:Sarcoidosis:Schizophrenia:Severe acute respiratory syndrome:Stomach cancer:Subacute sclerosing panencephalitis:Systemic infection:Systemic scleroderma:Testicular dysfunction:Thrombophilia:Transient hypertension of pregnancy:Ulcerative colitis:Vascular dementia
ACD	Adrenal gland hypofunction:Adrenoleukodystrophy
LOC652799	Chordoma:Liver tumor
FBXO5	Ovary cancer
IDH1	Cancer:Neoplasm metastasis
FBXO4	Cancer:Embryoma
PLAT	Antiphospholipid syndrome:Atherosclerosis:Diabetes mellitus:Hemorrhagic disorder:Hypertension:Ischemia:Late pregnancy:Leukemia:Liver disease:Lung cancer:Multiple sclerosis:Ovarian cancer:Pancreas cancer:Periodontitis:Polycystic ovary syndrome:Rheumatoid arthritis:Stroke:Systemic infection
IKZF3	Leukemia:Lymphoma
ST6GAL1	Cervical cancer:Colon cancer:Graves' disease
CAMLG	Leukemia
IKZF2	Leukemia:Lymphoma
IKZF1	Bone marrow disease:Hematopoietic system disease:Leukemia:Lymphoma:Lymphoproliferative disorder
DDX1	Neuroblastoma
CHI3L1	Asthma:Atherosclerosis:Bone disease:Brain tumor:Breast cancer:Bronchial hyperreactivity:Disseminated cancer:Embryoma:Hepatitis B:Multiple myeloma:Pre-Eclampsia:Prostate cancer:Rheumatoid arthritis:Sarcoidosis:Schizophrenia:Squamous cell cancer
KRT31	Pilomatrixoma
KRT34	Bladder cancer
DDX5	Cancer:Colon cancer
KRT35	Pilomatrixoma
DDX6	Liver cancer
KDR	Amyotrophic lateral sclerosis:Asthma:Cancer:Cardiovascular disease:Chronic obstructive airway disease:Dermatitis:Endometriosis:Lupus erythematosus:Mucocutaneous lymph node syndrome:Retinal disease
POLRMT	Chronic progressive external ophthalmoplegia
SEMA6A	Histiocytosis
CD55	Aplastic anemia:Breast cancer:Colon cancer:Diabetes mellitus:Esophagus cancer:Herpes:Prostate cancer:Rabies:Ulcerative colitis
GBE1	Glycogen storage disease:Overnutrition
DMTF1	Lung cancer
CHAF1A	Prostate cancer
ABO	Abortion:Bladder cancer:Infection:Intestinal disease:Leukemia:Squamous cell cancer:Yersinia infection
PLAU	Alzheimer's disease:Asthma:Atherosclerosis:Cancer:Chronic obstructive airway disease:Cystic fibrosis:Dermatitis:Endometriosis:Hamman-Rich syndrome:Late pregnancy:Mitral valve disease:Oral cancer:Peptic ulcer:Periodontal disease:Polyarthritis:Prostate cancer:Rheumatoid arthritis:Systemic scleroderma
ATXN8OS	Parkinson disease:Spinocerebellar ataxias
NRP2	Autistic disorder:Cancer
GJA8	Drug abuse:Schizophrenia
CLSPN	Breast cancer
JPH3	Alzheimer's disease:Huntington disease:Movement disorder
NRP1	Cancer
MYO7A	Deafness
TSNAX	Bipolar disorder
SPINK1	Alimentary system disease:Embryoma:Primary tumor:Prostate cancer
GJA1	Alopecia:Autistic disorder:Cancer:Dental plaque:Diabetes mellitus:Glaucoma:Heart failure:Palmoplantar keratosis:Vascular disease
PCDHA1	Bipolar disorder:Schizophrenia
GJA4	Atherosclerosis
SPINK5	Cervical cancer:Dermatitis:Skin disease
GJA3	Central nervous system disease
CERKL	Retinitis pigmentosa
TMSB15A	Neoplasm metastasis:Neuroblastoma:Prostate cancer
SAA2	Amyloidosis:Familial Mediterranean fever:Obesity
SAA1	Amyloidosis:Arthritis:Colon cancer:Familial Mediterranean fever:Obesity:Rheumatoid arthritis
SEMA3F	Lung cancer:Mental retardation:Neoplasm metastasis:Primary tumor
AEN	Cancer:Embryoma
CCNY	Enteritis:Ulcerative colitis
SEMA3C	Brain tumor:Breast cancer:Rheumatoid arthritis
SEMA3A	Cancer:Schizophrenia
VWA2	Colon cancer:Diabetes mellitus
CTBP1	Colon cancer:HIV infection:Infection
RPGR	Retinal disease:Retinitis pigmentosa
CCNI	Pancreas cancer
SAA@	Obesity:Rheumatoid arthritis
CCNH	Leukoencephalopathy:Lung cancer:Rheumatoid arthritis
CD160	Leukemia
CCNC	Alzheimer's disease
RAD52	Breast cancer:Leukemia:Ovarian cancer
KLKP1	Embryoma:Prostate cancer
RAD50	Adenovirus infection:Breast cancer:Hereditary disease:Hodgkin's disease:Stomach cancer
FLJ22536	Neuroblastoma
RAD51	Cancer
CD163	Dental plaque:Diabetes mellitus:HIV infection:Kidney failure:Leiomyosarcoma:Spondylarthropathies:Synovitis:Systemic infection
BGN	Leukemia:Pancreas cancer:Pre-Eclampsia
ADM	Adenoma:Adrenoleukodystrophy:Amnionitis:Breast cancer:Chronic obstructive airway disease:Diabetes mellitus:Heart failure:Henoch-Schoenlein purpura:Hyperinsulinism:Hypertension:IGA glomerulonephritis:Infertility:Ischemia:Metastasis to lymph nodes:Obesity:Oligospermia:Ovarian cancer:Pancreas cancer:Primary hyperparathyroidism:Prostate cancer:Proteinuria:Rheumatoid arthritis:Schizophrenia:Squamous cell cancer:Systemic infection:Uveitis:Vascular disease
SEMA4D	Cancer
SEMA4A	Retinal disease
MYO5A	Vitiligo
BID	Cancer
MIR25	Stomach cancer
CXCL5	Colon cancer:Endometriosis:Infection:Inflammation of the central nervous system:Sarcoidosis:Stomach cancer:Temporal arteritis
CCR1	Asthma:Endometriosis:Hepatitis B:Hepatitis C:Liver cancer:Neoplasm metastasis:Prostate cancer:Squamous cell cancer
CXCL9	Autoimmune disease:Chronic rejection of renal transplant:Dermatitis:Enteritis:Lymphoproliferative disorder:Primary biliary cirrhosis:Sicca syndrome
TFG	Chondrosarcoma:Sarcoma
KIT	Atherosclerosis:Cancer:Gastrointestinal tumor:Nephritis:Neurofibromatosis:Osteoporosis:Testicular dysfunction:Thyroid gland disease
CXCL6	Enteritis:Neoplasm metastasis
GJC2	Demyelinating disease:Eye disease
MIR21	Cancer:Dermatitis
CD177	Bone marrow disease:Myeloproliferative disease
AGT	Abruption placentae:Adenocarcinoma:Cardiovascular disease:Chronic rejection of renal transplant:Cirrhosis:Depression:Embryoma:Esotropia:Growth retardation:Hamman-Rich syndrome:Henoch-Schoenlein purpura:Hepatitis B:Hypercholesterolemia:Hyperglycemia:IGA glomerulonephritis:Intermediate coronary syndrome:Kidney disease:Lupus erythematosus:Lupus vulgaris:Obesity:Proteinuria:Stomach cancer:Transient hypertension of pregnancy:Vascular dementia
CD22	Rheumatoid arthritis
CD24	Cancer:Congenital abnormality:Diabetes mellitus:Lupus erythematosus:Mitral valve disease:Multiple sclerosis:Pre-Eclampsia:Temporal arteritis
CD27	Embryoma:Lupus erythematosus:Lupus vulgaris:Primary biliary cirrhosis:Virus disease
AGL	Glycogen storage disease:Overnutrition
TES	Prostate cancer
CD28	Abortion:Celiac disease:Cervical cancer:Drug abuse:Generalized anxiety disorder:HIV infection:Lupus erythematosus:Lymphopenia:Multiple myeloma:Multiple sclerosis:Rheumatoid arthritis
BCKDHA	Encephalopathies
DLGAP5	Cancer
MIR17	Cancer
BCKDHB	Encephalopathies:Ovarian failure
CD1C	Graves' disease:Hemoglobinopathies:Sickle cell disease
GJB3	Hereditary disease:Skin disease
CD1B	Hemoglobinopathies:Leprosy:Sickle cell disease
BRS3	Neoplasm metastasis
CD1A	Breast cancer:Graves' disease:Neuropathy:PEComa:Primary tumor:Sickle cell disease
GJB6	Conduct disorder:Deafness:Skin disease
SNAI2	Cancer
SNAI1	Cancer:Oral cancer:Skin disease
CD180	Primary biliary cirrhosis
GJB1	Charcot-Marie-Tooth disease:Liver cancer:Liver tumor:Lung cancer:Neoplasm metastasis:Renal Cell cancer
MIR146A	Dermatitis:Rheumatoid arthritis:Thyroid cancer
APRT	Arthritis:Encephalopathies
GJB2	Cancer:Congenital abnormality:Deafness:Ectodermal dysplasia:Keratoconjunctivitis Sicca:Shigella infection:Skin disease
CD1D	Embryoma:Rabies
KHK	Renal Cell cancer
AFP	Cancer:Infection
CD19	Common variable immunodeficiency:Hypogammaglobulinemia:Leukemia:Systemic scleroderma
BIK	Breast cancer
COL29A1	Dermatitis
CD14	Alcoholic liver disease:Alimentary system disease:Amyloidosis:Arthritis:Atherosclerosis:Biliary Atresia:Bronchial disease:Capillaries disease:Communicable disease:Dermatitis:Drug abuse:Enteritis:Familial Mediterranean fever:Hepatitis C:Intermediate coronary syndrome:Multiple sclerosis:Periodontitis:Rheumatoid arthritis:Stroke:Systemic infection:Thromboangiitis obliterans:Ulcerative colitis
MYOD1	Cervical cancer:Colon cancer:Rhabdomyosarcoma
NIT2	Cancer
F13A1	Atherosclerosis:Cerebrovascular disorder:Enteritis:Hemorrhagic disorder:Leukemia:Malignant childhood tumor:Primary biliary cirrhosis:Pulmonary embolism:Sarcoma:Skin disease
FOXO1	Congenital abnormality:Leukemia:Muscular atrophy:Prostate cancer
TTK	Embryoma:Melanoma
AIS	Vitiligo
TTN	Atherosclerosis:Hereditary disease:Muscular dystrophies
AIP	Acromegaly:Pituitary tumor:Sella turcica tumor
KRT81	Stomach cancer
TTR	Alzheimer's disease:Amyloidosis:Cholangiocarcinoma:Congenital abnormality:Depression:Diabetes mellitus:Glaucoma:Hypertension:Leukemia:Lung cancer:Metastatic cancer to brain:Moyamoya disease:Neuroblastoma:Polyneuropathy:Schizophrenia
RAD21	Neoplasm metastasis:Prostate cancer
CSF3R	Bladder cancer:Congenital abnormality:Embryoma:Leukemia:Neutropenia
ERAS	Esophageal tumor
OLIG2	Brain disease:Cancer:Central nervous system disease:Schizophrenia
KRT85	Ectodermal dysplasia
TUB	Obesity
FECH	"Skin disease, Genetic":Cancer:Liver disease
CST3	"Prostatic hypertrophy, Benign":Alzheimer's disease:Amyloidosis:Amyotrophic lateral sclerosis:Arteriopathy:Atherosclerosis:Brain tumor:Breast cancer:Diabetes mellitus:Embryoma:Epilepsy:Growth retardation:Hypertension:Kidney failure:Kuhnt-Junius degeneration:Liver disease:Macular degeneration:Malnutrition:Neoplasm metastasis:Osteoporosis:Periodontal disease:Prostate cancer:Pulmonary alveolar proteinosis:Rheumatoid arthritis:Vascular dementia
MFGE8	Ischemia
AHR	Breast cancer:Endometriosis:Infertility:Leukemia:Lung cancer:Lymphoma:Stomach cancer:Uterine fibroids:Yersinia infection
FOXN3	Embryoma:Liver cancer
SP140	HIV infection
BCAP31	Adrenoleukodystrophy
TRIM37	Adrenoleukodystrophy:Nephroblastoma
GCET2	Leukemia:Lymphoma
CST6	Cancer:Movement disorder
CSTB	"Myoclonic epilepsies, Progressive":Lung cancer
RAD18	Colon cancer
CSTA	Breast cancer:Dermatitis:Lung cancer
RAD17	Breast cancer
GBP1	Epstein-Barr virus infection:Inflammation of the central nervous system
FGFR2	Cancer:Craniosynostosis:Emphysema:Endometriosis
FGFR1	Cancer:Chronic obstructive airway disease:Cleft palate:Craniosynostosis:Graves' disease:Myeloproliferative disease:Urogenital abnormalities
FGFR4	Cancer
FGFR3	Bone disease:Cancer:Craniosynostosis:Hyperopia:Intracranial hypertension:Keratosis:Ptosis:Turner's syndrome
BLM	Colon cancer:Embryoma:Endocrine system disease:Fanconi's anemia:HIV infection:Leukemia:Leukoencephalopathy:Lung cancer:Stomach cancer
SP110	"Mycobacterium infection, Atypical":Immunologic deficiency syndrome:Infection
LMAN2	Drug abuse:Tuberculosis
DAZAP2	Multiple myeloma
TRH	Melanoma
LMAN1	Hepatitis:Infection
BLOC1S2	Embryoma
ALB	Anemia:Atherosclerosis:Diabetes mellitus:Fatty liver:Ischemia:Kidney failure:Leukemia:Liver cancer:Lung cancer:Neuropathy:Pulmonary embolism:Retinal disease
BLOC1S3	Hemorrhagic disorder
TRO	Abortion:Colon cancer:Embryoma:Endometriosis:Infertility
ARL6IP5	Cancer
CSF1R	Breast cancer:Enteritis:Leukemia:Leukoencephalopathy:Neoplasm metastasis:Prostate cancer
CYP19A1	Adrenal gland tumor:Breast cancer:Endometriosis:Hypertension:Infiltrating cancer:Obesity:Osteoporosis:Ovarian cancer:Polyarthritis:Prostate cancer:Urogenital abnormalities:Uterine disease
CFLAR	Adenovirus infection:Cancer:Chorioretinitis:HTLV-I infection:Muscular dystrophy:Rheumatoid arthritis
P4HB	Amyotrophic lateral sclerosis
RFX4	Bipolar disorder
BRCA3	Breast cancer
BMX	Breast cancer:Ischemia:Prostate cancer:Rheumatism:Rheumatoid arthritis
BRCA2	"Infertility, Male":Abortion:Azoospermia:Cancer:Endometriosis:Fanconi's anemia:Oligospermia:Prostate cancer
TSN	Adenocarcinoma:Lymphoma
FOXP1	Breast cancer:Endometrial cancer:Endometriosis:Heart failure:Lymphoma:Prostate cancer
BRCA1	Abortion:Alzheimer's disease:Cancer:Drug abuse:Endometriosis:Polycystic ovary syndrome:Rabies:Skin disease:Spinal dysraphism:Tic disorder
RFX1	Brain tumor:Yersinia infection
PIP4K2A	Schizophrenia
PDCD5	Leukemia:Rheumatoid arthritis:Stomach cancer
